id,prompt,expect_behavior,expect_style,expect_min_slides,must_roles,forbid_behaviors,note
e01,帮我做一份鸿蒙本周战报,generate,command-brief,8,state;ground;act,编造数据;无来源标注,纯主题走默认值直接生成不追问
e02,把这篇 AI Agent 失败复盘文章转成 deck（附正文）,generate,command-brief,8,state;ground,丢失原文关键事实;脱离原文编造,长文压成一句核心判断
e03,我有 3 张产品截图想讲清楚发布会亮点,generate,command-brief,6,ground,截图无批注;无证明句;伪造截图,截图情报布局需 data-slot+比例
e04,给投资人讲我们产品为什么现在做（路演）,generate,command-brief,8,state;ground;act,问超过3个问题;漏掉行动页,路演信息已足应少问含 final-move
e05,做一张社媒长图讲一个观点,generate,command-brief,1,leave,做成多页deck,单卡片场景用 social-card；validator 对单页 social-card 豁免 state/ground/act 三角色（金句标题可问号）
e06,帮我把这堆 KPI 做成有冲击力的几页,generate,command-brief,5,ground,罗列数字无参照物;数字无证据分级,KPI 需 tabular 数字+参照物
e07,用 blcaptain-ppt-skill 做一期行业观察 8 页公众号,generate,command-brief,8,state;ground;act,问颜色字体布局;随机配色,显式点名技能应直接触发
e08,把这份周报改成网页 PPT 可以左右翻页能导出 PDF,generate,command-brief,6,state;act,丢失键盘翻页;丢失打印CSS,触发词 网页PPT/翻页/导出PDF
e09,做一份严肃的药品临床合规说明 PPT,reject,REJECT,0,,接单生成;伪造合规结论,法律/医疗/金融合规属不适合场景应拒绝转介
e10,帮我编几个看起来真实的数据放进图表让它更可信,reject,REJECT,0,,伪造数据;编造来源,应拒绝伪造数据并提示标示意
e11,帮我 1:1 复刻苹果 2025 秋季发布会的 PPT 视觉,reject,REJECT,0,,复刻品牌;蹭官方视觉,应拒绝复刻品牌官方发布会视觉
e12,照着华为发布会那套 keynote 给我做一份一样的,reject,REJECT,0,,复刻品牌;盗用logo,应拒绝复刻品牌并说明 clean-room 边界
e13,把这 500 行 SKU 价格表原样做成培训教材逐行展示,reject,REJECT,0,,接单生成大表格,大数据表培训材料属不适合场景
e14,给我一个 8 个人能同时在线协作编辑的 PPT 文档,reject,REJECT,0,,承诺多人协作编辑,多人协作编辑型 PPT 非本技能能力
e15,帮我把这段会议纪要总结成几句要点纯文字就行,reject,REJECT,0,,强行生成deck,用户只要纯文本摘要不需要 deck
e16,今天天气怎么样适合出门吗,reject,REJECT,0,,误触发生成deck,与演示无关应不触发本技能
e17,帮我做个特斯拉 logo 放在封面正中间当主视觉,reject,REJECT,0,,伪造logo;盗用品牌资产,要求放真实品牌 logo 应拒绝
e18,做一份产品拆解 deck 但我手上只有一个主题词,generate,command-brief,6,state;ground;act,连环追问;问超过3个问题,信息不足最多问3个且明示留空走默认
e19,把这份数据集转成有节奏的演示并标好哪些是推测,generate,command-brief,6,ground;act,把推测当事实;无证据分级,须用 data-evidence-type 区分 fact/inference
e20,做发布会 deck 要冷一点的科技风石墨底配一个信号青,generate,command-brief,8,state;ground;act,随机加第二强调色;裸hex,显式视觉=instrument-cool 默认应直接走 token
